Name,Address,Operation,Type,Explanation,Img
계족산 황톳길,대전 대덕구 장동 453-1,00:00 ~ 24:00,Representative attractions,"Travel journalists selected the 33 -year -old travel destination (2008) and the Korea Tourism Organization 'Must visit in May (2009) and' 100 Korea Tourism (2014 ~ 2015) 'Gyejosan Hwangseon -gil.It is the nation's first health trip, starting at Jangdong Mountain Rim Beach, for Limdo Sam Street and Haegae, and Leehyeon -dong.The feet are connected to each body and are called the miniature of our body.Walking barefoot with Gyejosan Hwangseon -gil can stimulate the soles of the feet to help maintain the corresponding body organs.In particular, it helps blood circulation, which increases body temperature and strengthens immunity to prevent disease.In 2010, 500 foreign children from 100 countries who attended the UN Environmental Children's Conference and President Michelle, Seychelles, walked and praised them barefoot.Every year, the second weekend of May (Sat and Sunday) is held a barefoot festival.",https://daejeontour.co.kr/upload/atch/tourspot/20220127095749244.jpg
대청호반,대전 동구 추동 333,00:00 ~ 24:00,Representative attractions,"Daecheong Lake was built when the Daecheong Dam was completed in 1980 and supplied drinking water and living water/industrial water in Daejeon Metropolitan City/Cheongju City.It is well known as a drive course with a mountain and tree of 200-300m above sea level above the lake.Migratory birds and birds fly a lot, so you can easily see the egret upstream in the summer.When you climb the observatory, you can see the surrounding landscape at a glance.There is also a grass plaza around.There are Geumgang Amusement Parks, Janggye Tourist Destinations, and Cultural Heritage Complex.To find it, take the Gyeongbu Expressway and go to Sintanjin Interchain and go to Daecheong Dam from Sintanjin 4 Street.It takes about 3 hours by car to look back at the lake.Daecheongho class, which is well known as the president's villa, and so on, is preserved as it is.In December 1980, a dam that crossed the main stream between Ha Seok -ri, Cheongwon -gun, Chungbuk and Sintanjin -dong, Daedeok -gu, Daejeon.The dam was built on the border between Daejeon and petition, which was called Daecheong Dam.Daecheongho Class has a total reservoir capacity of 1.49 billion tons, and is supplying agricultural water to the downstream of the Geumgang and Mihocheon basin to some parts of Jeonbuk, including Daejeon, Cheongju, Cheonan, Chungcheong, and Gunsan.In addition, it produces clean energy through the reduction of flooding floods downstream and hydroelectric power generation due to flood control.",https://daejeontour.co.kr/upload/atch/tourspot/20220127094839204.jpg
동춘당,대전 대덕구 동춘당로 80,09:00 ~ 18:00,Representative attractions,"Dongchundang was moved by Dongchundang Song Jun -gil's first building.Dongchun means 'like a living spring', and the teacher has been reading and educating here, cultivating talents and making Hoedeokhyang medicine.Dongchun Party, the National Designated Cultural Heritage Treasure No. 209, has a board written by Uam Song Si -yeol.The structure is relatively simple and the size is not too large.The right four squares are Daecheong, and the left side of the left is ondol room, with a floor on the front and a floor in the wall of the ondol room.The headstone used a rectangular ear of earrings, which is one of the samples of the late Joseon Dynasty.Behind Dongchundang is Song Joon -gil's old house.It is designated as Daejeon Metropolitan City Tangible Cultural Property No. 3.The fallen “Song Seol” is a shrine that enshrines a plaque of Song Jun -gil.",https://daejeontour.co.kr/upload/atch/tourspot/20220127093924957.jpg
엑스포과학공원,대전 유성구 엑스포로 85,10:00 ~ 18:00,Representativ attractions,"After the end of the Daejeon World Expo, which was held in 1993, it is a science park created to use the facilities and sites as the venue for national science education, and there are many attractions such as simulation video views and electric energy halls where chairs move while watching the movie.At the Hanbit Pagoda, the symbol of the Expo Science Park, you can see the main regions of Daejeon at a glance.The first observation deck is unique because it looks like a ring -shaped circle that reminds us of the space station, and the children's playground and imagination are not stopped.In addition, more than 5,000 rare souvenirs, including Daejeon Expo Memorial Hall and the World Expo Memorial Museum, are exhibited, including the world's first Victoria Queen of Universal Scarf.",https://daejeontour.co.kr/upload/atch/tourspot/20220127095218968.jpg
한밭수목원,대전 서구 둔산대로 169,"06:00 ~ 21:00 [하절기(4월~9월) 06:00~21:00 동절기(10월~3월) 08:00~19:00] 열대식물원 : 09:00~18:00 기타 내용:동원 : 매주 월요일 휴무, 서원 : 매주 화요일 휴무",Representativ attractions,"Hanbat Arboretum is the nation's largest artificial Arboretum located between the Government Complex and Expo Science Park.Hanbat Arboretum preserves genes of various plant species.It is a place for natural experience learning for teenagers and has become a place for relaxation in the city.Arboretum is divided into Seowon, Dongwon, and Tropical Botanical Garden.Seowon, which has wetlands, wildflower gardens, and sensory gardens, consists of 179 trees and 305 kinds of water.The mobilization, which is located with rocks, roses, and magnolia, was built in 919 trees and 658 kinds of water.The recently opened tropical water hall was built in 198 trees, including Mangrob One, Palm Resources, and Tropical Woorim Center.The surrounding sights include the Culture and Arts Center, Daejeon Museum of Art, Lee Eung -no Art Museum, Daejeon Municipal Yeonjeongguk Guk, and Expo Science Park.",https://daejeontour.co.kr/upload/atch/tourspot/20220127100206717.jpg
유성온천,대전 유성구 봉명동 574,05:30 ~ 22:00,Representativ attractions,"On the Yuseong Hot Spring Street, the white petals resembling the eyes are planted as a trees, and the snowflake street is very beautiful.In 100% hot spring water that maintains 41 ~ 43 degrees from 200m underground, there are two foot baths with 80 people soaked in the foot baths with waterway facilities.It is also used in time.In the 116 hot spring districts in Korea, the oldest meteor hot spring is the largest in the country and uses the largest in the country, and the weak alkaline simple spring is smooth and the skin is smooth and the skin has no irritation.It is evenly contained, and the hot spring theme park has an open -air foot bath experience, which can be used for free.In recent years, many tourists are looking for the Yuseong foot bath experience in the hot spring theme park where you can experience foot baths with hot spring water.",https://daejeontour.co.kr/upload/atch/tourspot/20211222143625161.png
으능정이문화의거리,대전 중구 은행동 45-10,00:00 ~ 24:00,Representativ attractions,"From the 60's to the 80's, this place, which was once called the mecca of the central administration and the traditional culture of the central region, is now emerging as a cultural art street.More than 150 businesses related to culture and arts are in business, including galleries, theaters, exhibitions and performance facilities, galleries, taguarets, arts stores, pottery stores, and antique stores.In addition, various festivals such as Youth Mime Festival and Culture and Arts Festival are held.In addition, Skyro, which opened in 2013, is an arcade LED screen facility that is built in 214m long, 13.3m wide, and 20m high.It is a representative tourist attraction of Daejeon with various contents with sea entertainment and publicity.The dazzling of the eight -colored colors of the cultural distance is even more noticeable at night.This is because the lights make the ceiling of the street into a small universe.Walking along the Jungang -ro, Daejeon Station Square, passes the central market, which is responsible for the waves of Daejeon, and a shabby restaurant with a myriad of history.Since 2009, Mokcheok Bridge, which has a long tradition, has been reborn as a bridge with beautiful scenery as a beautiful sculpture is added by the full -fledged restoration project.After passing through Mokcheok Bridge, the main character of today, Ugungjeong, reaches the distance.If you have Myeong -dong, Gwangju, and Dongseong -ro in Daegu, there is a distance in Daejeon.So this distance is as famous as local personnel.",https://daejeontour.co.kr/upload/atch/tourspot/20220127093036069.jpg
효문화마을,대전 중구 뿌리공원로 47,"입실 : 이용당일 14:00~22:00, 퇴실 : 이용 마지막 날 오전 12시 이전",Representativ attractions,"Hyo Culture Village has the latest recreational welfare facilities in the natural environment where the natural landscape is harmonized with the beautiful root park.There are many places to visit, including the root park, one of the eight views of Daejeon, as well as the birthplace of OWWD and Danjae Shin Chae Ho, a comprehensive theme park that can be enjoyed by the whole family.There are 10 group rooms that can accommodate up to 8 people on the second floor, and the third floor has 14 family rooms that can accommodate up to 4 people.When booking in advance, you can also use the rentals such as the auditorium, the small auditorium, and the seminar room.",https://daejeontour.co.kr/upload/atch/tourspot/20211221185528477.jpg
옛 충남도청과 근현대사전시관,대전 중구 중앙로 101,00:00 ~ 24:00,Representativ attractions,"Among the existing modern government buildings in Daejeon, the oldest old Chungnam -do building building.Chungcheongnam -do moved from Gongju to Daejeon and was newly built in 1932.The exterior walls of the building were used at the time, and the walls inside the first floor were dug in an uneven shape, and the pillars and the podium were curved in curves.It is similar to the exterior of the main building of Shizuoka Prefecture in Japan in 1937.The former Chungnam Provincial Office has been built for 80 years, and the building has moved back to Naepo New Town, but only the building remains, but it has been transformed into Daejeon Modern and Contemporary Exhibition Hall, which has become a space for life where modern and modern modernity coexist.",https://daejeontour.co.kr/upload/atch/tourspot/20220609111415231.jpg
대전둘레산길,대전 중구 문화동 산 18-1,09:00 ~ 24:00,Representativ attractions,"The mountains extend long, wrapped around Daejeon, and the three rivers, Daejeoncheon, Yuseongcheon, and Gapcheon, meet in turn and flow to the Geumgang.If you look at the city, Geumsubong, Dokdeokbong crosses the Myeongsan Gyeryong Mountain of Geumnam Vein to the west.In the east, the ridges of the Gyejobs are extended to the Mt.",https://daejeontour.co.kr/upload/atch/tourspot/20220127094103411.jpg
