Name,Address,Operation,Type,Explanation,Img
계족산 황톳길,대전 대덕구 장동 453-1,00:00 ~ 24:00,Representative attractions,旅行ジャーナリストは、33歳の旅行先（2008年）と韓国観光機関が5月（2009年）と「100韓国観光（2014〜2015）に訪問する必要があります。それは、ジャンドンマウンテンリムビーチから始まる国内初の健康旅行、リムドサムストリートとヘガエ、およびリーヒョン - ドンです。足は各体に接続されており、私たちの体のミニチュアと呼ばれます。Gyejosan Hwangseon -Gilと一緒に裸足で歩くことは、対応する体の臓器を維持するのに役立つ足の裏を刺激することができます。特に、それは血液循環を助け、体温を上げ、免疫を強化して病気を予防します。2010年、国連環境児童会議とセイシェルのミシェル大統領に出席した100か国からの500人の外国人の子供は、裸足で歩いて賞賛しました。毎年、5月（土曜日と日曜日）の第2週末は、裸足のフェスティバルを開催されます。,https://daejeontour.co.kr/upload/atch/tourspot/20220127095749244.jpg
대청호반,대전 동구 추동 333,00:00 ~ 24:00,Representative attractions,Daecheong Lakeは、1980年にDaecheongダムが完成したときに建設され、Daejeon Metropolitan City/Cheongju市の飲料水と生きた水/工業水を供給しました。湖の上に海抜200〜300mの山と木があるドライブコースとしてよく知られています。渡り鳥や鳥はたくさん飛ぶので、夏には上流の緑を簡単に見ることができます。展望台に登ると、周囲の風景を一目で見ることができます。周りにも草の広場があります。Geumgang Amusement Parks、Janggyeの観光地、文化遺産の複合施設があります。それを見つけるには、Gyeongbu Expresswayに行き、Sintanjin Interchainに行き、Sintanjin 4 StreetからDaecheong Damに行きます。湖を振り返るのに車で約3時間かかります。大統領のヴィラとしてよく知られているダチョンホクラスなどは、そのまま保存されています。1980年12月、ハソクリ、チョンウォン - ガン、チョンブク、シンタンジン - ドン、ダーデク-gu、大jeonの間の主要な川を渡ったダム。ダムは、大jeonと請願の境界に建てられ、それはダチョンダムと呼ばれていました。Daecheonghoクラスの総貯水池は149億トンであり、GeumgangおよびMihocheon盆地の下流に農業水を、Daejeon、Cheongju、Cheonan、Chungcheong、GunsanなどのJeonbukの一部に供給しています。さらに、洪水制御による洪水の洪水の減少と水力発電の発電を通じて、クリーンエネルギーを生成します。,https://daejeontour.co.kr/upload/atch/tourspot/20220127094839204.jpg
동춘당,대전 대덕구 동춘당로 80,09:00 ~ 18:00,Representative attractions,Dongchundangは、Dongchundang Song Jun -Gilの最初の建物に移されました。ドンチュンは「生きている春のような」を意味し、教師はここで読んで教育し、才能を育て、Hoedeokhyangの薬を作っています。国立指定文化遺産の宝物209であるドンチュン党には、Uam Song Si -Yeolが書いた取締役会があります。構造は比較的単純で、サイズは大きすぎません。右側の4つの正方形はダチョンで、左側の左側はオンドールルームで、正面に床があり、床がオンドルルームの壁にあります。墓石は、イヤリングの長方形の耳を使用していました。これは、後期ホセオン王朝のサンプルの1つです。Dongchundangの後ろにはSong Joon -Gil's Old Houseがあります。それは、大jeonのメトロポリタン市の具体的な文化的財産番号3に指定されています。倒れた「ソール・ソール」は、ジュン・ギルの歌の塊をenった神社です。,https://daejeontour.co.kr/upload/atch/tourspot/20220127093924957.jpg
엑스포과학공원,대전 유성구 엑스포로 85,10:00 ~ 18:00,Representativ attractions,"1993年に開催されたDaejeon World Expoの終わり以降、これは施設とサイトを国家科学教育の会場として使用するために作成された科学パークであり、シミュレーションビデオビューや電気エネルギーホールなどの多くのアトラクションがあります。椅子は映画を見ながら動きます。エキスポサイエンスパークのシンボルであるハンビットパゴダでは、大jeonの主要な地域を一目で見ることができます。最初の観察デッキは、宇宙ステーションを思い出させるリング型の円のように見えるため、ユニークです。子供の遊び場と想像力は止められません。さらに、世界初のビクトリア普遍的スカーフの女王を含む、大jeonエキスポメモリアルホールや世界博覧会メモリアル博物館を含む5,000を超える珍しいお土産が展示されています。",https://daejeontour.co.kr/upload/atch/tourspot/20220127095218968.jpg
한밭수목원,대전 서구 둔산대로 169,"06:00 ~ 21:00 [하절기(4월~9월) 06:00~21:00 동절기(10월~3월) 08:00~19:00] 열대식물원 : 09:00~18:00 기타 내용:동원 : 매주 월요일 휴무, 서원 : 매주 화요일 휴무",Representativ attractions,ハンバット樹木園は、政府複合施設と博覧会科学パークの間に位置する国内最大の人工樹木園です。Hanbat Arboretumは、さまざまな植物種の遺伝子を保存しています。それはティーンエイジャーのための自然な体験を学ぶ場所であり、街でのリラクゼーションの場所になりました。樹木園は、Seowon、Dongwon、およびTropical Botanical Gardenに分かれています。湿地、野生の花の庭園、感覚庭園を備えたSeowonは、179本の木と305種類の水で構成されています。岩、バラ、マグノリアのある動員は、919の木と658種類の水で建てられました。最近オープンしたトロピカルウォーターホールは、Mangrob One、Palm Resources、Tropical Woorim Centerを含む198の木に建設されました。周囲の観光スポットには、文化と芸術センター、大jeon美術館、リー・ユン - ノー美術館、大jeon市立ヨンジュグクグク、エキスポサイエンスパークがあります。,https://daejeontour.co.kr/upload/atch/tourspot/20220127100206717.jpg
유성온천,대전 유성구 봉명동 574,05:30 ~ 22:00,Representativ attractions,YUSONG HOTSPRING STREETでは、目に似た白い花びらが木のように植えられており、スノーフレーク通りはとても美しいです。地下200mから41〜43度を維持する100％の温泉水には、韓国の116の温泉地区でも、80人の人が水路施設で浸されています。最古の流星泉は国内最大のもので、国内最大のものを使用しています。オープンフットバスエクスペリエンス。これは無料で使用できます。近年、多くの観光客が温泉テーマパークでYUSONGフットバスエクスペリエンスを探しています。ここでは、温泉の水と一緒にフットバスを体験できます。,https://daejeontour.co.kr/upload/atch/tourspot/20211222143625161.png
으능정이문화의거리,대전 중구 은행동 45-10,00:00 ~ 24:00,Representativ attractions,60年代から80年代まで、かつて中央政権のメッカと中央地域の伝統文化と呼ばれていたこの場所は、現在、文化的な芸術通りとして浮上しています。文化や芸術に関連する150を超える企業が、ギャラリー、劇場、展示会やパフォーマンス施設、ギャラリー、タガレット、芸術店、陶器店、アンティーク店など、ビジネスに携わっています。さらに、青少年フェスティバルやカルチャーアンドアーツフェスティバルなどのさまざまなフェスティバルが開催されます。2013年にオープンしたSkyroは、長さ214m、幅13.3m、20メートルに建設されていますは、海のエンターテイメントと宣伝を伴うさまざまなコンテンツを持つ大jeonの代表的な観光名所です。文化的距離の8色の8色の見事なものは、夜間にさらに顕著です。これは、光が通りの天井を小さな宇宙にするためです。Daejeon Station SquareのJungang -Roに沿って歩くと、Daejeonの波と無数の歴史があるぼろぼろのレストランを担当する中央市場を通過します。2009年以来、長い伝統を持っているMokcheok Bridgeは、美しい彫刻が完全に装備された修復プロジェクトによって追加されているため、美しい景色のある橋として生まれ変わりました。Mokcheok Bridgeを通過した後、今日の主人公であるUgungjeongが距離に達します。DaeguにMyeong -Dong、Gwangju、Dongseong -Roがある場合、大jeonには距離があります。したがって、この距離は地元の人員と同じくらい有名です。,https://daejeontour.co.kr/upload/atch/tourspot/20220127093036069.jpg
효문화마을,대전 중구 뿌리공원로 47,"입실 : 이용당일 14:00~22:00, 퇴실 : 이용 마지막 날 오전 12시 이전",Representativ attractions,Hyo Culture Villageには、自然の風景が美しいルートパークと調和している自然環境に最新のレクリエーション福祉施設があります。Daejeonの8つの景色の1つであるルートパークや、家族全員が楽しむことができる包括的なテーマパークであるOWWDとDanjae Shin Chae Hoの発祥の地など、訪れるべき多くの場所があります。2階には最大8人の人々を収容できる10個のグループルームがあり、3階には最大4人を収容できる14のファミリールームがあります。事前に予約するときは、講堂、小さな講堂、セミナールームなどのレンタルを使用することもできます。,https://daejeontour.co.kr/upload/atch/tourspot/20211221185528477.jpg
옛 충남도청과 근현대사전시관,대전 중구 중앙로 101,00:00 ~ 24:00,Representativ attractions,最古の古いチョンナム - ドドンビルディングの大jeonにある既存の近代的な政府の建物の中で。Chungcheongnam -DoはGongjuからDaejeonに移り、1932年に新しく建てられました。当時建物の外壁が使用され、1階の壁は不均一な形で掘られ、柱と表彰台は曲線で曲がっていました。1937年に日本の静岡県の本館の外観に似ています。旧チャンナム州の事務所は80年間建設されており、建物はNAEPOニュータウンに戻ってきましたが、建物のみが残っていますが、それは大jeonモダンで現代的な展示ホールに変身しました。現代と現代の近代性が共存しています。,https://daejeontour.co.kr/upload/atch/tourspot/20220609111415231.jpg
대전둘레산길,대전 중구 문화동 산 18-1,09:00 ~ 24:00,Representativ attractions,山は長く伸び、大川の周りに包まれ、3つの川、大jeンチョン、ユセンチョン、ギャップチョンが順番に出会い、ゲムガンに流れます。Geumsubongの街を見ると、DokdeokbongはGeumnam VeinのMyeongsan Gyeryong山を西に渡ります。東では、gyejobsの尾根が山に拡張されます。,https://daejeontour.co.kr/upload/atch/tourspot/20220127094103411.jpg
