Name,Address,Operation,Homepage,Type,Rate,Img
오문창순대국밥,대전 대덕구 한밭대로 1153 (우)34395,매일 00:00 ~ 24:00,https://place.map.kakao.com/26975999,순대,3.7,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD14E2E3F5C3D4FB7B0569A71E1937C31
매봉식당,대전 대덕구 계족로664번길 113 1층 (우)34397,화~일 11:30 ~ 21:00,https://place.map.kakao.com/16424517,두부전문점,3.7,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB94C51FD080C4E6E804F576F2458288E
조기종의향미각 본점,대전 대덕구 쌍청당로 14 1층 (우)34410,화~일 10:30 ~ 20:30,https://place.map.kakao.com/17192409,중국요리,2.9,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6B898253613546A49F1D56B0842B82AD
두두당,대전 대덕구 대청로 234 (우)34315,매일 10:30 ~ 22:00,https://place.map.kakao.com/1285491913,디저트카페,3.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEE4AC7CC18E640999471A3C038D17B10
부추해물칼국수,대전 대덕구 신탄진로804번길 31 (우)34310,매일 11:00 ~ 20:00,https://place.map.kakao.com/9827074,칼국수,3.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F95a42c363f314e57e7c4017c924d410301fc6503%3Foriginal
비래키키,대전 대덕구 비래골길 47-12 (우)34412,매일 11:00 ~ 22:00,https://place.map.kakao.com/787212968,카페,3.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1DB079AD6D1D4FB6AA4D4C6B459A73BC
몽심,대전 대덕구 한남로38번길 28 한남빌 1층 (우)34431,매일 11:00 ~ 19:30,https://place.map.kakao.com/843666963,"제과,베이커리",4.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3EBF0995322C44C1B03CCCED547A5AFF
더맑은초가랑,대전 대덕구 대청호수로1326번길 70-29 1층 (우)34316,수~일 11:30 ~ 17:00,https://place.map.kakao.com/21338121,한식,2.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F83621823E8DC463C9B59EE6BA3D149BC
왕손곱창,대전 대덕구 대화로 69 1층 (우)34371,화~토 10:30 ~ 21:30,https://place.map.kakao.com/11186149,"곱창,막창",4.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC31EBD9BB0024F9FB72D66CA3BAA2505
연탄구이,대전 대덕구 한남로88번길 6 1층 (우)34433,월~토 17:00 ~ 22:00,https://place.map.kakao.com/15690021,"육류,고기",4.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF2875896212148DD8DC5EC6686972CCF
통일면옥,대전 대덕구 한밭대로1117번길 17 1층 (우)34394,매일 11:30 ~ 21:50,https://place.map.kakao.com/9524501,냉면,4.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF85E6C8688954F429D04664F01240B1A
중부회수산시장,대전 대덕구 계족로 544 1-2층 (우)34422,매일 11:30 ~ 02:00,https://place.map.kakao.com/940460118,회,3.3,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F70CDFD334A5144E69259E3B142CD52EF
백마강참숯민물장어 비래점,대전 대덕구 동서대로 1752 (우)34419,매일 11:00 ~ 22:00,https://place.map.kakao.com/8537318,장어,2.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F194E45354F4DFEA422
자연산형제횟집,대전 대덕구 중리로76번길 22 1층 (우)34389,월~토 11:30 ~ 22:30,https://place.map.kakao.com/9603921,회,127.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5103D2D7958C432CA6504B257E51157C
장수촌 송촌중리점,대전 대덕구 송촌북로5번길 10-11 1층 (우)34410,매일 11:00 ~ 21:30,https://place.map.kakao.com/14935743,닭요리,4.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2756F04752FB22A627
꽁뚜식당,대전 대덕구 신탄진로36번길 111 (우)34353,매일 10:00 ~ 21:00,https://place.map.kakao.com/8184749,중식,3.3,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5D2FCBE1122845C0ABD88F26B299C677
소도둑 대전송촌점,대전 대덕구 송촌북로4번길 49 1층 101호 (우)34409,매일 11:00 ~ 23:00,https://place.map.kakao.com/492755915,"육류,고기",4.7,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDAED0295B3214AB6B54C87E3392F2534
바다횟집,대전 대덕구 한밭대로1003번길 8 B동 1층 (우)34378,토 11:50 ~ 22:00,https://place.map.kakao.com/1728520743,회,4.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5F18251F87ED448EB943EFC33FB19E83
장승마을,대전 대덕구 신탄진동로24번길 24 1층 (우)34312,매일 11:30 ~ 21:00,https://place.map.kakao.com/10075204,"게,대게",4.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3A14F79E9B0D41FD98126054A2F8EB4D
