Name,Address,Operation,Type,Explanation,Img
계족산 황톳길,대전 대덕구 장동 453-1,00:00 ~ 24:00,Representative attractions,"여행 전문기자들이 선정한 ‘다시 찾고 싶은 여행지 33선(2008년)’과 한국관광공사가 선정한 ‘5월에 꼭 가봐야 할 명소(2009년)’ ‘한국관광 100선(2014~2015년)’에 빛난 계족산 황톳길. 계족산(429m) 장동산림욕장에서 시작해 임도삼거리와 절고개를 거쳐 이현동 갈림길까지 총 14.5㎞를 맨발로 걷는 전국 최초의 건강여행길이다. 발은 신체 각 기관과 연결되어 있어 우리 몸의 축소판이라 불린다. 맨발로 계족산 황톳길을 걸으면 발바닥을 자극해 그에 상응하는 신체기관 건강을 유지하는 데 도움을 준다.   특히 혈액순환에 도움을 줘 체온이 상승하고 면역력이 강해져 질병을 예방할 수 있다. 2010년에는 유엔환경어린이회의에 참석한 100개국 500여 명의 외국 어린이들과 세이셸공화국 미셸 대통령이 맨발로 걷고 극찬한 곳이기도 하다. 매년 5월 둘째 주 주말(토·일)엔 계족산 맨발축제가 열린다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127095749244.jpg
대청호반,대전 동구 추동 333,00:00 ~ 24:00,Representative attractions,대청호는 1980년 대청댐이 완공되면서 조성되어 대전광역시/청주시의 식수와 생활용수/공업용수를 공급하고 있다. 호수 위로 해발고도 200∼300m의 야산과 수목이 펼쳐져 드라이브 코스로 잘 알려져 있다. 철새와 텃새가 많이 날아들어 여름에는 상류에서 백로를 쉽게 볼 수 있다. 전망대에 오르면 주변 경관이 한눈에 내려다보이며/1998년에 개관한 물홍보관은 입체 영상관과 수족관 등을 갖추고 있다. 주위에 잔디광장도 있다. 주변에 금강유원지/장계관광지/문의문화재단지 등이 있어 연계 관광이 가능하다. 찾아가려면 경부고속도로를 타고 가다가 신탄진 인터체인지로 나와 신탄진 4거리에서 대청댐 방면으로 가면 된다. 호수를 한 바퀴 돌아보려면 승용차로 3시간 정도 걸린다. 대통령의 별장으로 잘 알려진 ‘청남대’가 자리한 대청호반/그래서인지 청정자연의 모습이 그대로 보존된 이곳은 최근 청남대의 일반인 개방으로 더욱 유명세를 타고 있다. 1980년 12월/충북 청원군 하석리와 대전 대덕구 신탄진동 사이 금강 본류를 가로지르는 댐이 만들어졌다. 천리의 비단물결을 막아선 이 댐은 대전과 청원의 경계에 세워져 대청댐이라는 이름이 붙었다. 대청호반은 총 저수용량이 14억 9000만 톤으로 대전과 청주/천안을 비롯한 충청지역 및 군산 등 전북일부 지역에 생/공용수를 금강하류와 미호천 유역에 농업용수를 공급하고 있다. 또한 홍수조절에 따른 댐 하류 홍수피해 경감과 수력발전을 통한 청정에너지를 생산한다.,https://daejeontour.co.kr/upload/atch/tourspot/20220127094839204.jpg
동춘당,대전 대덕구 동춘당로 80,09:00 ~ 18:00,Representative attractions,"동춘당은 동춘당 송준길 선생이 아버지가 처음 세웠던 건물을 옮겨지은 것이다. 동춘이란 ‘살아 움직이는 봄과 같아라’ 는 뜻으로 선생은 이곳에서 독서와 교육을 하면서 인재를 양성하고 회덕향약을 만들었다. 국가지정문화재 보물 제209호인 동춘당은 우암 송시열이 쓴 현판이 걸려 있다. 구조는 비교적 간소하고 규모도 과히 크지 않다. 오른쪽 4칸이 대청이 되고 왼쪽 2칸이 온돌방인데, 전면에는 쪽마루를 깔았으며 온돌방의 벽 아래 부분에는 머름을 대었다. 주춧돌은 사각형의 귀가 높은 초석을 사용하였는데 조선 후기 별당건축의 한 표본으로 꼽을만하다. 동춘당 뒤편에는 송준길의 고택이 있다. 이곳은 대전광역시 유형문화재 3호로 지정되어 있다. 떨어진 ‘송씨별묘’는 송준길 한분의 위패를 모시는 사당이다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127093924957.jpg
엑스포과학공원,대전 유성구 엑스포로 85,10:00 ~ 18:00,Representativ attractions,"1993년에 개최되었던 대전세계박람회인 엑스포가 끝난 뒤 그 시설과 부지를 국민과학교육의 장으로 활용하기 위하여 조성된 과학공원이다.영화를 보면서 의자가 움직이는 시뮬레이션 영상관과 전기 에너지관 등 볼거리가 많다. 엑스포과학공원의 상징탑인 한빛탑에서 대전시의 주요지역을 한눈에 조망 할 수 있으며. 제1전망대는 우주정거장을 연상하게 하는 고리형 서클 모양을 하고 있어 독특하다.아이들의 놀이터이자 상상력을 키워주는 이곳 과학공원의 발길이 끊이질 않고 있다. 또한 최근에 개관한 대전엑스포기념관,세계엑스포기념품박물관에는 세계 최초 빅토리아 여왕 만국기 스카프 등 진귀한 기념품 5,000여점이 전시되어 있다",https://daejeontour.co.kr/upload/atch/tourspot/20220127095218968.jpg
한밭수목원,대전 서구 둔산대로 169,"06:00 ~ 21:00 [하절기(4월~9월) 06:00~21:00 동절기(10월~3월) 08:00~19:00] 열대식물원 : 09:00~18:00 기타 내용:동원 : 매주 월요일 휴무, 서원 : 매주 화요일 휴무",Representativ attractions,"한밭수목원은 정부대전청사와 엑스포과학공원 사이에 위치한 도심 속 전국 최대의 인공수목원이다. 각종 식물종의 유전자를 보존하고 있는 한밭수목원. 청소년들에겐 자연체험학습의 장으로, 시민들에겐 도심 속 휴식의 장으로 자리매김하고 있다. 수목원은 서원과 동원, 열대식물원으로 나뉜다. 습지원, 야생화원, 감각정원 등이 있는 서원은 수목 179종과 초화류 305종으로 조성되었고, 넓은 잔디광장이 있어 도시락 들고 나들이 온 사람들이 즐겨 찾는다. 암석원·장미과원· 목련원 등이 있는 동원은 919종의 수목과 658종의 초화류로 조성되었다. 최근에 문을 연 열대식물관은 맹그로브원·야자원·열대우림원 등 6개원 198종의 수목으로 조성되었다. 주변 볼거리로 문화예술의전당·대전시립미술관·이응노미술관· 대전시립연정국악원·엑스포과학공원 등이 있다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127100206717.jpg
유성온천,대전 유성구 봉명동 574,05:30 ~ 22:00,Representativ attractions,"유성온천거리에는 눈을 닮은 하얀 꽃잎이 아름다운 이팝나무가 가로수로 많이 심어져 있고, 눈꽃거리가 조성되어 매우 아름답다. 지하 200M에서 끌어올린 41~43도를 유지하는 100% 온천수에 80명이 발을 담글 수 있는 두 개의 족욕탕과 수로시설을 갖추고 있는 족욕체험장이 무료로 개방되어 있어 이곳에 오는 관광객은 물론 이곳 주민들까지 늦은시간임에도 이용이 많다.우리나라의 116개 온천 지구 가운데서 가장 오래된 유성온천은 부존량과 사용량에서 전국 최대 규모를 자랑하고 있으며 약알칼리성 단순천으로 천질이 매끄럽고 피부에 자극이 없고 양이온 및 아연, 철 등 미네랄성 금속류들이 골고루 함유되어 있다.온천테마공원에는 노천 족욕체험장이 있어 누구나 무료로 이용할 수 있다. 최근에는, 온천수로 족욕 체험을 할 수 있는 온천테마공원 안의 유성족욕체험장에 많은 관광객들이 찾고 있어 유성온천이 더 활기를 띄고 있다.",https://daejeontour.co.kr/upload/atch/tourspot/20211222143625161.png
으능정이문화의거리,대전 중구 은행동 45-10,00:00 ~ 24:00,Representativ attractions," 60년대부터 80년대까지 한때 중부권의 행정과 상권·전통문화의 메카로 불리었던 이곳이 지금은 문화예술 거리로 새롭게 떠오르고 있다 . 화랑·공연장·소극장·전시 및 공연시설·화랑·표구사·화실·도예점·골동품점 등 문화예술 관련업종 150여 업소가 성업 중이며, 으능정이 페스티벌. 청소년 마임페스티벌, 문화예술거리축제 등 다양한 축제가 열린다.또한 2013년에 개장한 스카이로는 아케이드형 LED 스크린 시설로 길이 214M, 폭 13.3M, 높이 20M 규모로 건립되었으며 메인 스크린과 미디어허브등을 활용해 오락성과 공공성을 갖춘 다양한 컨텐츠를 보여있는 대전의 대표 관광명소이다. 으능정이 문화의 거리는 팔색조의 현란함은 밤이 되면 더욱 눈에 띄는데 어둑 어둑 땅거미가 내려앉으면 으능정이 거리는 축제 현장이 된다. 불빛이 거리의 천정을 작은 우주로 만들기 때문이다. 대전역 광장에서 앞으로 쭉 뻗은 중앙로를 따라 걸으면 대전의 물물교환을 책임져온 중앙시장과 무수한 역사를 자랑하는 허름한 밥집들을 지난다.이어 대전의 명물, 목척교가 나온다. 오랜 전통을 자랑하는 목척교는 2009년부터 생태 친수공간으로 본격적인 복원사업에 의해 아름다운 조형물이 덧입혀지면서 아름다운 경관을 자랑하는 다리로 거듭났다. 목척교를 지나면 바로 오늘의 주인공, 으능정이 거리에 이른다. 서울의 명동, 광주의 충장로, 대구의 동성로가 있다면 대전에는 으능정이 거리가 있다. 그래서 이 거리는 지역인사 만큼이나 유명세를 치른다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127093036069.jpg
효문화마을,대전 중구 뿌리공원로 47,"입실 : 이용당일 14:00~22:00, 퇴실 : 이용 마지막 날 오전 12시 이전",Representativ attractions,"효문화마을은 자연경관이 아름다운 뿌리공원과 조화를 이룬 천혜의 자연환경 속에 최신 휴양복지시설을 갖추고 있어 누구나 효 교육 체험, 휴양 등을 즐길 수 있는 시설입니다. 인근에 대전 8경 중 하나인 뿌리공원은 물론, 온 가족이 즐길 수 있는 종합테마공원인 오월드와 단재신채호선생의 생가 등 방문할 곳이 많은 것이 특징입니다. 2층은 8인까지 수용할 수 있는 단체실이 10개실이 있으며, 3층은 4인까지 수용할 수 있는 가족실이 14개실이 있습니다. 사전 예약 시 대강당, 소강당, 세미나실 등 대관도 이용할 수 있어 워크숍 등 단체 행사에도 이용하시기 좋습니다.",https://daejeontour.co.kr/upload/atch/tourspot/20211221185528477.jpg
옛 충남도청과 근현대사전시관,대전 중구 중앙로 101,00:00 ~ 24:00,Representativ attractions,"대전에 현존하는 근대 관청 건물 중에서 제일 오래된 옛 충남도청 건물. 충청남도는 공주에서 대전으로 청사를 이전하며 1932년에 신축하였다. 건물 외벽은 당시 유행하던 밝은 갈색의 스크래치 타일을 사용했으며 1층 내부의 벽면은 요철(凹凸) 모양으로 파내어 장식하였고, 기둥과 기단의 각은 곡선으로 처리하였다. 1937년 일본의 시즈오카현 청사 본관 외관과 비슷한 점으로 보아 당시 1930년대의 관공서 건축 양식을 잘 보여주는 소중한 자료이기도 하다. 옛 충남도청은 세워진 지 80년이란 세월이 흘렀고, 청사는 내포신도시로 다시 이전해 건물만 덩그러니 남았지만 현재 대전 근현대사 전시관으로 탈바꿈하여 오늘날 대전의 근·현대가 공존하는 삶의 공간이 되었다.",https://daejeontour.co.kr/upload/atch/tourspot/20220609111415231.jpg
대전둘레산길,대전 중구 문화동 산 18-1,09:00 ~ 24:00,Representativ attractions,"산들이 길게 뻗어 대전을 감싸고 그 사이로 3대 하천인 대전천, 유등천, 갑천이 차례로 만나 금강으로 흐른다. 시내에서 바라보면 서쪽으로 금남정맥의 명산 계룡산을 배경으로 금수봉, 도덕봉이 삽재 건너 갑하산, 우산봉으로 이어져 북쪽의 금병산으로 흐른다. 동으로는 계족의 능선이 길게 뻗어 식장산에 우뚝 솟고 남에 보문산, 구봉산을 수놓으며 다시 서쪽의 빈계산, 금수봉, 도덕봉의 능선과 산길로 만나고 있다.",https://daejeontour.co.kr/upload/atch/tourspot/20220127094103411.jpg
